./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -S -f major
seq/major
N,split,join_zero,join,split_zero
1000,0.005444,0.004711,0.005277,0.004629
1000,0.005096,0.004672,0.005257,0.004628
1000,0.005018,0.004694,0.005267,0.004625
1000,0.005008,0.004685,0.005308,0.004645
1000,0.004993,0.004740,0.005262,0.004627
1000,0.004993,0.004665,0.005271,0.004632
1000,0.004973,0.004770,0.005313,0.004642
1000,0.004973,0.004653,0.005496,0.004630
1000,0.004971,0.004653,0.005205,0.004632
1000,0.004971,0.004650,0.005251,0.004629
1000,0.004970,0.004670,0.005231,0.004640
1000,0.004964,0.004677,0.005209,0.004647
1000,0.004959,0.004664,0.005243,0.004634
1000,0.004477,0.004211,0.004709,0.004171
1000,0.004467,0.004230,0.004707,0.004171
1000,0.004463,0.004195,0.004738,0.004185
1000,0.004428,0.003963,0.004673,0.003856
1000,0.004399,0.004013,0.004505,0.003976
1000,0.004234,0.003972,0.004481,0.004104
1000,0.004222,0.004138,0.004444,0.003950
1000000,3.864160,0.019126,3.159120,0.015342
1000000,3.763180,0.018168,4.220060,0.018845
1000000,3.335280,0.017485,2.881870,0.014280
1000000,3.317940,0.017758,3.882520,0.015157
1000000,3.294710,0.013409,3.367620,0.016745
1000000,3.257880,0.014153,2.943670,0.014435
10000,0.031482,0.009728,0.031703,0.008554
1000000,3.132330,0.013517,3.102720,0.014358
100000,0.306839,0.010732,0.300690,0.009431
1000000,3.059040,0.029043,3.114930,0.015745
100000,0.305511,0.009312,0.311974,0.008672
100000,0.304869,0.010027,0.299087,0.010520
10000,0.029882,0.011523,0.034596,0.009647
1000000,2.960450,0.014553,2.894500,0.016656
1000000,2.953750,0.017569,2.983280,0.014235
1000000,2.951170,0.017948,3.046190,0.015392
100000,0.289904,0.009781,0.292409,0.009890
1000000,2.895960,0.013977,4.262980,0.018787
1000000,2.881350,0.013882,2.870870,0.017064
1000000,2.865750,0.013307,2.908550,0.014108
1000000,2.862500,0.013687,3.134570,0.014395
1000000,2.856360,0.013411,3.204070,0.014794
10000,0.028462,0.007780,0.028900,0.007574
100000,0.284327,0.010211,0.292083,0.009637
1000000,2.832910,0.016309,3.286780,0.014063
100000,0.282672,0.009783,0.283024,0.009158
100000,0.280681,0.009421,0.308624,0.009727
10000,0.027876,0.008755,0.029208,0.007521
10000,0.027766,0.008110,0.028672,0.008210
10000,0.027698,0.008364,0.028651,0.008232
100000,0.276375,0.009715,0.287613,0.010399
100000,0.272374,0.011765,0.282302,0.009320
1000000,2.704640,0.013926,2.772860,0.014151
10000,0.027012,0.007668,0.027357,0.007852
100000,0.269165,0.009012,0.244989,0.008103
10000,0.026852,0.007687,0.026827,0.007723
1000000,2.683750,0.013166,2.791230,0.014288
10000,0.026704,0.008138,0.028357,0.008000
10000,0.026685,0.008205,0.028101,0.008101
10000,0.026630,0.008048,0.029328,0.009132
10000,0.026620,0.007712,0.026911,0.007795
10000,0.026595,0.007688,0.027082,0.007582
10000,0.026506,0.007767,0.027012,0.008265
10000,0.026488,0.011478,0.029238,0.008524
1000000,2.648220,0.013168,2.746010,0.014171
10000,0.026396,0.008225,0.032123,0.009037
10000,0.026200,0.008727,0.028501,0.008212
10000,0.026116,0.007973,0.028086,0.008139
10000,0.026015,0.008023,0.029597,0.007510
10000,0.025623,0.008312,0.027616,0.007743
100000,0.253471,0.008096,0.236020,0.008407
100000,0.251456,0.010559,0.261642,0.009476
100000,0.245417,0.008154,0.237935,0.008194
100000,0.243415,0.009466,0.229527,0.008410
100000,0.239365,0.010530,0.247919,0.008212
100000,0.238957,0.010162,0.231992,0.009254
100000,0.238074,0.009846,0.226749,0.008766
100000,0.233197,0.008919,0.285896,0.010670
100000,0.231256,0.010166,0.233221,0.008420
100000,0.225704,0.008331,0.304639,0.009516
10000000,TIME-OUT,0.070409,TIME-OUT,0.072388
10000000,TIME-OUT,0.069921,TIME-OUT,0.070240
10000000,TIME-OUT,0.064980,TIME-OUT,0.072019
10000000,TIME-OUT,0.064282,TIME-OUT,0.072394
10000000,TIME-OUT,0.062187,TIME-OUT,0.069775
10000000,TIME-OUT,0.062171,TIME-OUT,0.069776
10000000,TIME-OUT,0.061360,TIME-OUT,0.072055
10000000,TIME-OUT,0.061157,TIME-OUT,0.082292
10000000,TIME-OUT,0.061073,TIME-OUT,0.080720
10000000,TIME-OUT,0.061073,TIME-OUT,0.072062
10000000,TIME-OUT,0.061054,TIME-OUT,0.072098
10000000,TIME-OUT,0.061020,TIME-OUT,0.070052
10000000,TIME-OUT,0.060960,TIME-OUT,0.072255
10000000,TIME-OUT,0.060871,TIME-OUT,0.072409
10000000,TIME-OUT,0.060827,TIME-OUT,0.080816
10000000,TIME-OUT,0.060750,TIME-OUT,0.069913
10000000,TIME-OUT,0.060725,TIME-OUT,0.074077
10000000,TIME-OUT,0.060695,TIME-OUT,0.071870
10000000,TIME-OUT,0.060588,TIME-OUT,0.071448
10000000,TIME-OUT,0.060382,TIME-OUT,0.072690
