./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f major
openmp/major
N,split,join_zero,join,split_zero
1000,0.127044,0.132592,0.026497,0.010743
1000,0.094250,0.000236,0.000209,0.004767
1000,0.062606,0.000254,0.000141,0.004319
1000,0.051099,0.000403,0.000145,0.005170
1000,0.043852,0.000224,0.000134,0.004304
1000,0.016691,0.045547,0.000216,0.004334
1000,0.012752,0.000627,0.000271,0.008356
1000,0.009037,0.000719,0.000243,0.008317
1000,0.008055,0.000328,0.000185,0.004421
1000,0.005405,0.000419,0.000183,0.006838
1000,0.005308,0.000171,0.000149,0.005413
1000,0.005174,0.000261,0.000148,0.107676
1000,0.004891,0.000237,0.000134,0.004710
1000,0.004885,0.000179,0.000179,0.004439
1000,0.004458,0.012534,0.018422,0.076307
1000,0.004420,0.000296,0.000132,0.004632
1000,0.004419,0.000298,0.000133,0.004811
1000,0.004404,0.000501,0.000142,0.004292
1000,0.004396,0.000638,0.000185,0.004363
1000,0.004352,0.000242,0.000152,0.004345
1000000,2.742860,0.022820,0.007044,0.008372
1000000,2.730630,0.001561,0.002458,0.009274
1000000,2.722090,0.001753,0.002424,0.009321
1000000,2.665840,0.001608,0.002401,0.009378
1000000,2.445430,0.001817,0.002432,0.009347
1000000,2.414920,0.001789,0.002479,0.034053
1000000,2.315390,0.010404,0.009583,0.008832
1000000,2.233150,0.001534,0.003185,0.009396
1000000,2.176980,0.001576,0.002410,0.009299
1000000,2.158390,0.001553,0.002439,0.009306
1000000,2.153550,0.001673,0.002450,0.009904
1000000,2.069310,0.001656,0.002424,0.009394
1000000,2.031250,0.048754,0.002294,0.008203
1000000,2.025470,0.001783,0.002436,0.009363
1000000,1.947390,0.026659,0.015583,0.008148
1000000,1.911420,0.031319,0.004564,0.014528
1000000,1.900210,0.011198,0.004729,0.054961
1000000,1.897310,0.001581,0.002458,0.009396
1000000,1.885530,0.001530,0.002455,0.009291
1000000,1.876440,0.001538,0.002465,0.009413
10000,0.016125,0.000353,0.000146,0.005801
10000,0.015482,0.008855,0.069718,0.022109
10000,0.013589,0.045214,0.062589,0.005988
10000,0.011334,0.000284,0.007067,0.006196
100000,0.109204,0.017326,0.063533,0.006195
10000000,TIME-OUT,0.114141,0.353722,0.035237
10000000,TIME-OUT,0.077933,0.113198,0.028058
10000000,TIME-OUT,0.070687,0.084805,0.033776
10000000,TIME-OUT,0.064780,0.148587,0.027893
10000000,TIME-OUT,0.030516,0.043531,0.029360
10000000,TIME-OUT,0.024888,0.539663,0.039328
10000000,TIME-OUT,0.020027,0.115400,0.028046
10000000,TIME-OUT,0.013320,0.370566,0.073422
10000000,TIME-OUT,0.013302,0.388519,0.076563
10000000,TIME-OUT,0.013271,0.106979,0.082205
10000000,TIME-OUT,0.013220,0.196742,0.053008
10000000,TIME-OUT,0.013195,0.041886,0.034337
10000000,TIME-OUT,0.013174,0.267964,0.054590
10000000,TIME-OUT,0.013154,0.023108,0.028263
10000000,TIME-OUT,0.013145,0.388797,0.116059
10000000,TIME-OUT,0.013139,0.315374,0.073652
10000000,TIME-OUT,0.013119,0.022184,0.033327
10000000,TIME-OUT,0.013110,0.114086,0.028522
10000000,TIME-OUT,0.013094,0.079846,0.037502
10000000,TIME-OUT,0.012901,0.479370,0.045267
10000,0.009248,0.000183,0.000157,0.006117
10000,0.009211,0.000231,0.000154,0.006138
10000,0.009188,0.000277,0.000150,0.006171
10000,0.009161,0.009376,0.000154,0.006184
10000,0.009108,0.000308,0.000152,0.005899
10000,0.009000,0.000188,0.000154,0.005737
10000,0.008983,0.000258,0.000146,0.005738
10000,0.008964,0.000277,0.000152,0.010127
10000,0.008945,0.000200,0.000151,0.005865
10000,0.008896,0.000175,0.000156,0.005828
10000,0.008885,0.000286,0.000151,0.005807
10000,0.008843,0.000323,0.000153,0.005697
10000,0.008832,0.000244,0.000146,0.005765
10000,0.008783,0.000374,0.000155,0.005840
10000,0.008745,0.000380,0.000161,0.005862
10000,0.008704,0.000237,0.000163,0.005697
100000,0.086395,0.000436,0.000418,0.006101
100000,0.057174,0.000526,0.000316,0.006146
100000,0.056895,0.000340,0.000311,0.006061
100000,0.055772,0.006261,0.000370,0.006156
100000,0.043455,0.000489,0.000316,0.006141
100000,0.041660,0.000419,0.000302,0.006069
100000,0.041251,0.000394,0.000336,0.006085
100000,0.039014,0.000270,0.000316,0.006471
100000,0.037664,0.000480,0.000313,0.006099
100000,0.037405,0.000407,0.000325,0.007365
100000,0.037396,0.000287,0.000327,0.006105
100000,0.037371,0.000362,0.000327,0.006065
100000,0.036992,0.000460,0.000377,0.006069
100000,0.036886,0.000397,0.000310,0.006099
100000,0.036864,0.000410,0.000335,0.006118
100000,0.036769,0.000328,0.000316,0.006088
100000,0.036757,0.000275,0.000340,0.007685
100000,0.036691,0.000437,0.000324,0.006122
100000,0.036594,0.006279,0.000332,0.006077
