./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f reduction
openmp/reduction
N,join_zero,reduction
1000,0.006404,0.027933
10000,0.056766,0.016524
10000,0.036459,0.024271
10000,0.036332,0.064467
10000,0.008424,0.017831
100000,0.056717,0.137139
1000,0.000500,0.012547
1000,0.000452,0.006083
1000,0.000187,0.006502
1000,0.000185,0.006141
1000,0.000178,0.013032
1000,0.000178,0.006688
1000,0.000168,0.006063
1000,0.000162,0.006707
1000,0.000155,0.006276
100000,0.014964,0.120301
1000,0.000148,0.006673
1000,0.000148,0.006196
1000,0.000145,0.006541
1000,0.000144,0.006201
1000,0.000143,0.006344
1000,0.000142,0.014731
1000,0.000142,0.006355
1000,0.000139,0.006381
1000,0.000134,0.007353
1000,0.000133,0.023739
100000,0.009745,0.137935
10000000,0.507003,-1
1000000,0.048639,2.281860
10000000,0.334160,-1
10000000,0.322548,-1
10000000,0.297386,-1
10000000,0.288699,-1
10000,0.000190,0.016314
10000,0.000188,0.016552
10000,0.000170,0.016538
10000,0.000169,0.016645
10000,0.000166,0.016594
10000,0.000161,0.035195
10000,0.000160,0.016507
10000,0.000156,0.029253
10000,0.000155,0.016673
10000,0.000151,0.016585
10000,0.000149,0.016604
10000,0.000147,0.016670
10000,0.000147,0.016186
10000,0.000146,0.016790
10000,0.000146,0.016605
10000,0.000146,0.016525
10000000,0.116861,-1
10000000,0.103372,-1
10000000,0.102851,-1
10000000,0.102689,-1
10000000,0.093638,-1
10000000,0.067923,-1
10000000,0.062543,-1
1000000,0.005917,1.941310
10000000,0.058813,-1
10000000,0.058603,-1
10000000,0.056567,-1
10000000,0.052449,-1
10000000,0.049615,-1
10000000,0.048084,-1
100000,0.000422,0.132180
100000,0.000405,0.124967
10000000,0.040426,-1
1000000,0.003935,3.039540
100000,0.000392,0.124954
100000,0.000386,0.129541
100000,0.000384,0.122290
100000,0.000376,0.124858
100000,0.000374,0.419559
100000,0.000373,0.166289
100000,0.000370,0.126836
100000,0.000363,0.122161
100000,0.000353,0.125939
100000,0.000352,0.136094
100000,0.000350,0.127382
100000,0.000340,0.129654
100000,0.000335,0.127228
1000000,0.003190,2.000610
100000,0.000316,0.149636
10000000,0.031270,-1
100000,0.000312,0.132403
1000000,0.003113,2.345170
1000000,0.002439,2.767590
1000000,0.002435,2.465390
1000000,0.002433,1.907970
1000000,0.002427,2.202180
1000000,0.002418,1.907540
1000000,0.002408,2.475210
1000000,0.002406,2.702800
1000000,0.002404,2.648940
1000000,0.002404,2.305110
1000000,0.002393,2.155730
1000000,0.002385,1.901670
1000000,0.002358,2.171440
1000000,0.002337,2.744960
1000000,0.002297,2.259710
1000000,0.002236,2.387690
