N,static,auto,guided
1000,0.000239,0.000211,0.000218
10000,0.000213,0.000223,0.000256
1000,0.000199,0.000233,0.000206
1000,0.000204,0.000198,0.000192
1000,0.032034,0.010506,0.000254
10000,0.000226,0.000219,0.000218
10000,0.000379,0.000224,0.000258
10000,0.074581,0.000230,0.000279
10000,0.000226,0.000236,0.000256
10000,0.000209,0.000219,0.000289
10000,0.000241,0.000237,0.000261
10000,0.000225,0.000221,0.000275
10000,0.023795,0.035544,0.000260
1000,0.000221,0.000206,0.001546
10000,0.000231,0.000249,0.000281
10000,0.000210,0.000235,0.000319
10000,0.008267,0.000241,0.016134
100000,0.000465,0.000522,0.000377
10000,0.000231,0.000223,0.000256
1000,0.000235,0.000219,0.000327
100000,0.000418,0.003824,0.000439
100000,0.134663,0.000416,0.000529
10000,0.000247,0.000224,0.000261
100000,0.008597,0.000416,0.000433
100000,0.000416,0.005059,0.000371
100000,0.000397,0.000408,0.000346
10000,0.098978,0.000214,0.000252
1000,0.000231,0.000224,0.000220
1000,0.015312,0.000226,0.000221
10000,0.000230,0.006316,0.000399
100000,0.000378,0.000391,0.000463
100000,0.054616,0.048377,0.042449
100000,0.000427,0.000383,0.000452
100000,0.000394,0.000553,0.000405
100000,0.000389,0.000377,0.000404
100000,0.014793,0.007675,0.000535
1000,0.000167,0.000142,0.000166
1000,0.008083,0.191781,0.000304
1000000,0.006212,0.046752,0.003219
1000000,0.003083,0.002312,0.003892
1000000,0.003065,0.002327,0.006066
1000000,0.002346,0.002411,0.003252
1000000,0.002310,0.002345,0.003864
1000,0.085891,0.000218,0.000223
1000,0.000130,0.000138,0.000174
10000000,0.324765,0.033134,0.553953
10000000,0.172293,0.330692,0.041839
10000000,0.135573,0.049895,0.020893
10000000,0.067943,0.047521,0.251416
10000000,0.038998,0.528318,0.025115
100000,0.018184,0.000363,0.000364
1000,0.000545,0.002937,0.000473
1000,0.000292,0.000267,0.051263
1000,0.031305,0.000130,0.000200
1000,0.000186,0.000170,0.000188
1000,0.000195,0.001342,0.000362
100000,0.048354,0.000379,0.018290
1000,0.000148,0.000136,0.000146
1000,0.000143,0.000135,0.000176
1000,0.000152,0.000137,0.000241
10000000,0.257121,0.169558,0.091602
1000000,0.002378,0.002329,0.002384
10000,0.000276,0.000274,0.000340
10000000,0.168857,0.108327,0.398142
1000000,0.002320,0.002318,0.002374
1000000,0.079549,0.002374,0.003243
1000000,0.002333,0.002318,0.004687
1000000,0.003049,0.056576,0.003178
10000000,0.130916,0.429341,0.086806
1000000,0.002329,0.003036,0.003887
10000,0.000155,0.000157,0.000187
100000,0.000363,0.000364,0.000391
100000,0.000400,0.000385,0.000438
10000,0.000211,0.000170,0.000287
10000,0.000157,0.000160,0.000197
100000,0.002693,0.011864,0.000384
1000000,0.002473,0.020626,0.043973
100000,0.000370,0.000371,0.000436
1000000,0.002313,0.003094,0.002324
1000000,0.002392,0.002276,0.003100
100000,0.000330,0.000327,0.000345
10000000,0.023582,0.090825,0.159245
10000000,0.055489,0.130454,0.297294
10000000,0.042202,0.449533,0.049435
10000000,0.044655,0.103047,0.397366
10000000,0.112127,0.071398,0.075873
10000000,0.045561,0.102768,0.390002
10000000,0.025563,0.514797,0.043990
1000000,0.002369,0.002307,0.003099
100000,0.000363,0.000336,0.000356
10000000,0.129702,0.077377,0.079097
10000000,0.166044,0.039173,0.189470
10000000,0.389735,0.063482,0.041565
1000000,0.002323,0.003848,0.004570
10000000,0.040905,0.058614,0.122934
1000000,0.002311,0.002330,0.003854
10000000,0.112271,0.388167,0.044427
1000000,0.002296,0.003852,0.004619
1000000,0.002265,0.002338,0.003115
1000000,0.002337,0.002306,0.004589
