./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 2 -R 2
N,split,join_zero,join,split_msg,split_zero
mpi/major,2
1000,0.009914,0.000093,0.010339,0.019378,0.000044
1000,0.008060,0.000131,0.006634,0.015022,0.000132
1000,0.007866,0.000039,0.006984,0.017576,0.000040
1000,0.007489,0.000144,0.006834,0.018767,0.000036
1000000,7.425860,0.010097,6.759690,8.347230,0.009395
1000000,7.401110,0.007869,6.622610,8.104770,0.007712
1000000,7.399470,0.007815,6.759450,8.317540,0.007811
1000000,7.391280,0.008476,6.755820,8.337360,0.009372
1000000,7.384160,0.009417,6.762220,8.338570,0.009436
1000000,7.383980,0.008568,6.752230,8.356370,0.007779
1000000,7.186850,0.007594,6.556740,8.086750,0.007705
1000000,7.174010,0.007891,6.560290,8.120280,0.009320
1000000,7.173140,0.007583,6.567020,8.118610,0.008697
1000000,7.170550,0.010918,6.567960,8.086870,0.007618
1000000,7.169160,0.007561,6.553740,8.133420,0.012507
1000000,7.168720,0.007906,6.560480,8.128450,0.009280
1000000,7.167740,0.009297,6.568810,8.128410,0.007458
1000000,7.165530,0.008974,6.560040,8.096250,0.007759
1000000,7.163330,0.009313,6.563980,8.100860,0.013300
1000000,7.159530,0.007594,6.571490,8.144390,0.007548
1000000,7.154110,0.008993,6.568160,8.131730,0.007557
1000000,7.151940,0.008435,6.579370,8.144840,0.007875
1000000,7.149440,0.010466,6.573220,8.168550,0.010084
1000000,7.105690,0.008150,6.562610,8.143450,0.007918
1000,0.007097,0.000033,0.009042,0.020513,0.000030
1000,0.006884,0.000045,0.008567,0.016675,0.000031
1000,0.006835,0.000045,0.007180,0.020033,0.000029
1000,0.006795,0.000030,0.007226,0.021598,0.000160
1000,0.006626,0.000038,0.006771,0.018198,0.000028
1000,0.006584,0.000026,0.005796,0.017440,0.000028
1000,0.006539,0.000036,0.007579,0.015865,0.000028
1000,0.006504,0.000023,0.006477,0.018345,0.000048
1000,0.006486,0.000028,0.007234,0.017603,0.000029
1000,0.006483,0.000027,0.006731,0.018219,0.001336
1000,0.006362,0.000030,0.008057,0.018714,0.000032
1000,0.006334,0.000029,0.007296,0.018725,0.000147
1000,0.006275,0.000088,0.007098,0.016356,0.000031
1000,0.005689,0.000111,0.006670,0.017883,0.000032
1000,0.005671,0.000027,0.005901,0.017064,0.000054
1000,0.005634,0.000039,0.006153,0.015652,0.000155
10000,0.039502,0.000120,0.041132,0.059888,0.000106
10000,0.038758,0.000145,0.038470,0.062206,0.000125
100000,0.381799,0.001055,0.352678,0.529585,0.001136
10000,0.037222,0.000106,0.039129,0.062263,0.000247
10000,0.037059,0.000133,0.047913,0.066460,0.000105
10000,0.036937,0.000149,0.042170,0.065756,0.000164
10000,0.036359,0.000138,0.040577,0.063917,0.000107
10000,0.036074,0.000113,0.040518,0.062692,0.000097
10000,0.035850,0.000139,0.039439,0.061112,0.000107
100000,0.350583,0.000885,0.402093,0.647175,0.001274
10000,0.035038,0.000103,0.039333,0.061591,0.000116
10000,0.034800,0.000104,0.038792,0.061332,0.000123
10000,0.034751,0.000113,0.042807,0.063772,0.000161
10000,0.034619,0.000120,0.045906,0.063135,0.000100
10000,0.034502,0.000144,0.038962,0.064564,0.000143
10000,0.034472,0.000118,0.039891,0.060017,0.000118
10000,0.034343,0.000108,0.038859,0.065545,0.000148
10000,0.034128,0.000191,0.041598,0.059365,0.000099
10000,0.034017,0.000118,0.039293,0.060626,0.000120
10000,0.033895,0.000103,0.042486,0.061694,0.000116
10000,0.033773,0.000120,0.039495,0.060537,0.000107
10000,0.033739,0.000111,0.040432,0.060458,0.000110
100000,0.316201,0.000754,0.330618,0.506184,0.000989
100000,0.308526,0.001001,0.323924,0.484268,0.001021
100000,0.291124,0.000900,0.270226,0.410792,0.000762
100000,0.280277,0.001077,0.308332,0.415555,0.000753
100000,0.273952,0.000807,0.397303,0.414986,0.001376
100000,0.268136,0.001008,0.287769,0.414745,0.000761
100000,0.267826,0.000781,0.270017,0.400557,0.000735
100000,0.265021,0.000755,0.277076,0.413710,0.000789
100000,0.263590,0.000830,0.279532,0.409974,0.000816
100000,0.262945,0.001003,0.283812,0.408359,0.000763
100000,0.262463,0.000993,0.288621,0.403081,0.000802
100000,0.261299,0.001142,0.349778,0.421813,0.000996
100000,0.259971,0.000879,0.273027,0.414567,0.000755
100000,0.254559,0.000782,0.280736,0.419885,0.000784
100000,0.253821,0.000891,0.284353,0.413354,0.001008
100000,0.253032,0.000812,0.280009,0.427948,0.001151
100000,0.252280,0.000878,0.282896,0.409031,0.000999
100000,0.249110,0.000812,0.269946,0.403500,0.000803
10000000,TIME-OUT,0.082456,TIME-OUT,TIME-OUT,0.072318
10000000,TIME-OUT,0.077187,TIME-OUT,TIME-OUT,0.079643
10000000,TIME-OUT,0.076180,TIME-OUT,TIME-OUT,0.072630
10000000,TIME-OUT,0.076065,TIME-OUT,TIME-OUT,0.072198
10000000,TIME-OUT,0.075479,TIME-OUT,TIME-OUT,0.075494
10000000,TIME-OUT,0.075196,TIME-OUT,TIME-OUT,0.072796
10000000,TIME-OUT,0.075176,TIME-OUT,TIME-OUT,0.074379
10000000,TIME-OUT,0.075150,TIME-OUT,TIME-OUT,0.071963
10000000,TIME-OUT,0.074896,TIME-OUT,TIME-OUT,0.073300
10000000,TIME-OUT,0.074850,TIME-OUT,TIME-OUT,0.071692
10000000,TIME-OUT,0.074538,TIME-OUT,TIME-OUT,0.073664
10000000,TIME-OUT,0.074424,TIME-OUT,TIME-OUT,0.077321
10000000,TIME-OUT,0.074331,TIME-OUT,TIME-OUT,0.076471
10000000,TIME-OUT,0.074271,TIME-OUT,TIME-OUT,0.076880
10000000,TIME-OUT,0.073343,TIME-OUT,TIME-OUT,0.072008
10000000,TIME-OUT,0.073267,TIME-OUT,TIME-OUT,0.075806
10000000,TIME-OUT,0.073183,TIME-OUT,TIME-OUT,0.072481
10000000,TIME-OUT,0.072914,TIME-OUT,TIME-OUT,0.072276
10000000,TIME-OUT,0.072708,TIME-OUT,TIME-OUT,0.071955
10000000,TIME-OUT,0.072457,TIME-OUT,TIME-OUT,0.072551
