./tester -m -v 0 -n 10000 -N 10000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f major
openmp/major
N,split,join_zero,join,split_zero
10000,0.016125,0.000353,0.000146,0.005801
10000,0.015482,0.008855,0.069718,0.022109
10000,0.013589,0.045214,0.062589,0.005988
10000,0.011334,0.000284,0.007067,0.006196
10000,0.009248,0.000183,0.000157,0.006117
10000,0.009211,0.000231,0.000154,0.006138
10000,0.009188,0.000277,0.000150,0.006171
10000,0.009161,0.009376,0.000154,0.006184
10000,0.009108,0.000308,0.000152,0.005899
10000,0.009000,0.000188,0.000154,0.005737
10000,0.008983,0.000258,0.000146,0.005738
10000,0.008964,0.000277,0.000152,0.010127
10000,0.008945,0.000200,0.000151,0.005865
10000,0.008896,0.000175,0.000156,0.005828
10000,0.008885,0.000286,0.000151,0.005807
10000,0.008843,0.000323,0.000153,0.005697
10000,0.008832,0.000244,0.000146,0.005765
10000,0.008783,0.000374,0.000155,0.005840
10000,0.008745,0.000380,0.000161,0.005862
10000,0.008704,0.000237,0.000163,0.005697
