./tester -m -v 0 -n 100000 -N 100000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f schedule
openmp/schedule
N,dynamic,static,auto,guided
100000,9.412880,0.000465,0.000522,0.000377
100000,9.316230,0.000418,0.003824,0.000439
100000,9.244250,0.134663,0.000416,0.000529
100000,9.099880,0.008597,0.000416,0.000433
100000,9.019080,0.000416,0.005059,0.000371
100000,9.000950,0.000397,0.000408,0.000346
100000,8.834050,0.000378,0.000391,0.000463
100000,8.666200,0.054616,0.048377,0.042449
100000,8.398030,0.000427,0.000383,0.000452
100000,8.267130,0.000394,0.000553,0.000405
100000,8.166550,0.000389,0.000377,0.000404
100000,7.686590,0.014793,0.007675,0.000535
100000,0.081029,0.018184,0.000363,0.000364
100000,0.027463,0.048354,0.000379,0.018290
100000,0.011749,0.000363,0.000364,0.000391
100000,0.011716,0.000400,0.000385,0.000438
100000,0.010934,0.002693,0.011864,0.000384
100000,0.010106,0.000370,0.000371,0.000436
100000,0.009572,0.000330,0.000327,0.000345
100000,0.009008,0.000363,0.000336,0.000356
