./tester -m -v 0 -n 100000 -N 100000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 1 -R 1
N,split,join_zero,join,split_msg,split_zero
mpi/major,1
100000,0.257805,0.010866,0.335131,TIME-OUT,0.007097
100000,0.252672,0.011593,0.306401,TIME-OUT,0.005810
100000,0.234644,0.012876,0.307331,TIME-OUT,0.008006
100000,0.231080,0.009662,0.300468,TIME-OUT,0.005722
100000,0.227170,0.011099,0.353667,TIME-OUT,0.007290
100000,0.221014,0.011150,0.349042,TIME-OUT,0.006924
100000,0.220859,0.010867,0.369258,TIME-OUT,0.006410
100000,0.219811,0.010970,0.336662,TIME-OUT,0.006963
100000,0.217428,0.011428,0.289169,TIME-OUT,0.005988
100000,0.217128,0.011966,0.291503,TIME-OUT,0.006395
100000,0.215731,0.011518,0.389770,TIME-OUT,0.006806
100000,0.214323,0.011632,0.336736,TIME-OUT,0.006896
100000,0.213930,0.014495,0.304587,TIME-OUT,0.007423
100000,0.201270,0.009949,0.298144,TIME-OUT,0.008911
100000,0.199028,0.009659,0.295238,TIME-OUT,0.006887
100000,0.197523,0.016213,0.306145,TIME-OUT,0.009091
100000,0.196471,0.009808,0.304058,TIME-OUT,0.006191
100000,0.188978,0.011467,0.290912,TIME-OUT,0.006877
100000,0.188186,0.009644,0.317653,TIME-OUT,0.006184
100000,0.183733,0.009149,0.302174,TIME-OUT,0.006626
