./tester -m -v 0 -n 1000000 -N 1000000 -t 10 -e 0.01 -h 100.0 -i 1 -O -f reduction
openmp/reduction
N,join_zero,reduction
1000000,0.048639,2.281860
1000000,0.005917,1.941310
1000000,0.003935,3.039540
1000000,0.003190,2.000610
1000000,0.003113,2.345170
1000000,0.002439,2.767590
1000000,0.002435,2.465390
1000000,0.002433,1.907970
1000000,0.002427,2.202180
1000000,0.002418,1.907540
1000000,0.002408,2.475210
1000000,0.002406,2.702800
1000000,0.002404,2.648940
1000000,0.002404,2.305110
1000000,0.002393,2.155730
1000000,0.002385,1.901670
1000000,0.002358,2.171440
1000000,0.002337,2.744960
1000000,0.002297,2.259710
1000000,0.002236,2.387690
