./tester -m -v 0 -n 10000000 -N 10000000 -t 10 -e 0.01 -h 100.0 -i 1 -S -f major
seq/major
N,split,join_zero,join,split_zero
10000000,TIME-OUT,0.070409,TIME-OUT,0.072388
10000000,TIME-OUT,0.069921,TIME-OUT,0.070240
10000000,TIME-OUT,0.064980,TIME-OUT,0.072019
10000000,TIME-OUT,0.064282,TIME-OUT,0.072394
10000000,TIME-OUT,0.062187,TIME-OUT,0.069775
10000000,TIME-OUT,0.062171,TIME-OUT,0.069776
10000000,TIME-OUT,0.061360,TIME-OUT,0.072055
10000000,TIME-OUT,0.061157,TIME-OUT,0.082292
10000000,TIME-OUT,0.061073,TIME-OUT,0.080720
10000000,TIME-OUT,0.061073,TIME-OUT,0.072062
10000000,TIME-OUT,0.061054,TIME-OUT,0.072098
10000000,TIME-OUT,0.061020,TIME-OUT,0.070052
10000000,TIME-OUT,0.060960,TIME-OUT,0.072255
10000000,TIME-OUT,0.060871,TIME-OUT,0.072409
10000000,TIME-OUT,0.060827,TIME-OUT,0.080816
10000000,TIME-OUT,0.060750,TIME-OUT,0.069913
10000000,TIME-OUT,0.060725,TIME-OUT,0.074077
10000000,TIME-OUT,0.060695,TIME-OUT,0.071870
10000000,TIME-OUT,0.060588,TIME-OUT,0.071448
10000000,TIME-OUT,0.060382,TIME-OUT,0.072690
