seq/major
heat,split,join,split_zero,join_zero
10,0.187747,0.236360,0.004596,0.008251
10,0.174647,0.260633,0.004620,0.008106
10,0.165327,0.241464,0.004648,0.010712
10,0.157689,0.231215,0.004583,0.008169
100,1.540900,2.614450,0.257315,0.544892
100,1.527290,2.859110,0.254801,0.480285
10,0.152583,0.234514,0.004590,0.008628
100,1.522620,2.568660,0.272397,0.480231
100,1.501220,2.711840,0.256334,0.474732
100,1.500060,2.564630,0.245777,0.462015
100,1.497700,2.592070,0.265898,0.487095
100,1.492650,2.720020,0.262125,0.476309
100,1.488310,2.476990,0.271506,0.475120
100,1.483600,2.550820,0.267569,0.474056
100,1.482940,2.840210,0.249986,0.465254
10,0.148046,0.242977,0.004579,0.008172
10,0.147795,0.233669,0.004761,0.008679
10,0.146953,0.239369,0.004908,0.008615
10,0.146016,0.262313,0.004629,0.008412
100,1.457020,2.472330,0.262778,0.473686
100,1.453750,2.524600,0.262648,0.464221
100,1.448810,2.467850,0.297300,0.465547
100,1.436650,2.474240,0.258588,0.487413
10,0.143475,0.273362,0.004706,0.008266
100,1.429030,2.585920,0.277642,0.478904
100,1.427570,2.753730,0.270278,0.475687
100,1.422950,2.536880,0.348121,0.508516
10,0.141204,0.222811,0.005714,0.008341
10,0.140458,0.249179,0.004697,0.008202
10,0.140204,0.234777,0.004614,0.008245
10,0.140041,0.267912,0.005192,0.008367
100,1.398550,2.492840,0.297621,0.469268
100,1.396900,2.448960,0.289746,0.462839
100,1.389110,2.501730,0.259320,0.464352
10,0.137947,0.244368,0.005964,0.008264
10,0.137674,0.242337,0.004651,0.008178
10,0.136212,0.248111,0.004622,0.008313
10,0.135630,0.233275,0.004615,0.008184
10,0.132058,0.244400,0.004577,0.008137
10,0.130127,0.238674,0.004587,0.008127
1000,TIME-OUT,TIME-OUT,TIME-OUT,TIME-OUT
