seq/original
heat,original
100,1.856270
100,1.835140
100,1.683800
100,1.629860
10,0.160654
10,0.160209
10,0.158390
100,1.572390
100,1.566340
100,1.556260
100,1.555360
100,1.538350
10,0.153076
100,1.528820
10,0.152492
100,1.519620
10,0.151764
100,1.513360
100,1.500560
100,1.499130
10,0.148524
100,1.482160
10,0.148189
100,1.467840
100,1.465370
10,0.146512
100,1.463250
100,1.457760
10,0.145127
10,0.145000
10,0.144510
10,0.144063
10,0.143146
100,1.429590
10,0.142146
10,0.141264
10,0.140882
10,0.138621
10,0.135235
10,0.130993
1000,TIME-OUT
