openmp/reduction
heat,reduction,join_zero
10,0.581305,0.000400
10,0.375349,0.056821
100,2.237500,0.000375
100,2.079900,0.000396
10,0.202341,0.000386
100,1.995570,0.000392
10,0.197111,0.000386
100,1.956200,0.000375
100,1.852880,0.000380
100,1.740100,0.023504
100,1.724130,0.000373
100,1.712560,0.000411
100,1.710500,0.000407
100,1.705210,0.065387
100,1.686910,0.000381
100,1.668490,0.000408
100,1.649300,0.000389
100,1.602410,0.018966
100,1.597290,0.000398
100,1.560040,0.065001
100,1.477210,0.000395
10,0.142100,0.000411
100,1.419820,0.030459
10,0.137653,0.000384
10,0.135414,0.000392
10,0.130046,0.042367
10,0.128715,0.009254
10,0.128036,0.010202
100,1.279550,0.044341
10,0.126162,0.007836
100,1.261470,0.000388
10,0.126046,0.003778
10,0.124935,0.000401
10,0.124879,0.000391
10,0.124495,0.000401
10,0.124405,0.000399
10,0.124393,0.000383
10,0.120256,0.000417
10,0.120018,0.000395
10,0.119943,0.000398
1000,-1,0.025951
1000,-1,0.017641
1000,-1,0.001396
1000,-1,0.001064
1000,-1,0.000461
1000,-1,0.000437
1000,-1,0.000418
1000,-1,0.000410
1000,-1,0.000406
1000,-1,0.000404
1000,-1,0.000400
1000,-1,0.000399
1000,-1,0.000392
1000,-1,0.000389
1000,-1,0.000382
1000,-1,0.000379
10000,-1,0.029945
10000,-1,0.022384
10000,-1,0.020303
10000,-1,0.011411
10000,-1,0.003304
10000,-1,0.000694
10000,-1,0.000446
10000,-1,0.000418
10000,-1,0.000398
10000,-1,0.000388
10000,-1,0.000387
10000,-1,0.000383
10000,-1,0.000381
10000,-1,0.000380
10000,-1,0.000377
10000,-1,0.000367
10000,-1,0.000366
10000,-1,0.000361
100000,-1,0.046092
100000,-1,0.032865
100000,-1,0.030525
100000,-1,0.025642
100000,-1,0.016311
100000,-1,0.000581
100000,-1,0.000433
100000,-1,0.000414
100000,-1,0.000413
100000,-1,0.000406
100000,-1,0.000403
100000,-1,0.000400
100000,-1,0.000395
100000,-1,0.000393
100000,-1,0.000379
100000,-1,0.000378
100000,-1,0.000376
100000,-1,0.000373
100000,-1,0.000372
100000,-1,0.000369
1000000,-1,0.082719
1000000,-1,0.029039
1000000,-1,0.023561
1000000,-1,0.022131
1000000,-1,0.019134
1000000,-1,0.014730
1000000,-1,0.000409
1000000,-1,0.000407
1000000,-1,0.000403
1000000,-1,0.000402
1000000,-1,0.000395
1000000,-1,0.000394
1000000,-1,0.000392
1000000,-1,0.000386
1000000,-1,0.000381
1000000,-1,0.000379
1000000,-1,0.000376
1000000,-1,0.000375
1000000,-1,0.000369
1000000,-1,0.000357
10000000,-1,0.053637
10000000,-1,0.010060
10000000,-1,0.006257
10000000,-1,0.006168
10000000,-1,0.000420
10000000,-1,0.000411
10000000,-1,0.000407
10000000,-1,0.000403
10000000,-1,0.000399
10000000,-1,0.000396
10000000,-1,0.000395
10000000,-1,0.000393
10000000,-1,0.000390
10000000,-1,0.000387
10000000,-1,0.000386
10000000,-1,0.000383
10000000,-1,0.000377
10000000,-1,0.000375
10000000,-1,0.000362
