openmp/schedule
heat,auto,static,guided
10,0.000397,0.000405,0.000412
10,0.000404,0.000408,0.000432
10,0.006186,0.000386,0.000364
10,0.000391,0.000411,0.000405
10,0.000396,0.000380,0.000396
10,0.015304,0.011392,0.000405
10,0.000412,0.000392,0.000395
10,0.040067,0.038942,0.000392
10,0.000402,0.000393,0.000452
10,0.015414,0.017841,0.025108
10,0.016304,0.007064,0.000398
100,0.054308,0.017801,0.000407
100,0.000454,0.026343,0.014812
100,0.000414,0.000401,0.000434
100,0.000414,0.000393,0.000413
100,0.000407,0.000386,0.000415
100,0.000403,0.000409,0.000448
100,0.000399,0.000402,0.000424
100,0.000387,0.000397,0.000412
100,0.000378,0.000407,0.000417
100,0.000377,0.000383,0.000399
100,0.000373,0.000400,0.000418
100,0.000367,0.000377,0.000398
100,0.000342,0.009714,0.054922
1000,0.015140,0.000433,0.000403
1000,0.010214,0.000394,0.000411
1000,0.000661,0.089284,0.000388
1000,0.000401,0.080947,0.000398
1000,0.000395,0.000387,0.000403
1000,0.000393,0.000385,0.000402
1000,0.000390,0.000419,0.000397
1000,0.000390,0.000378,0.000396
1000,0.000386,0.000398,0.000407
1000,0.000382,0.000405,0.000391
1000,0.000375,0.000413,0.000398
10,0.090715,0.000384,0.000406
10,0.000670,0.000754,0.000653
10,0.000375,0.000424,0.000379
10,0.000521,0.000565,0.000660
10,0.000355,0.000339,0.000362
10,0.095896,0.000401,0.000417
10000,0.079084,0.014827,0.000416
10000,0.000417,0.000411,0.000418
10000,0.000416,0.000400,0.000413
10000,0.000416,0.000376,0.000425
10000,0.000409,0.000389,0.000428
10000,0.000404,0.000375,0.000421
10000,0.000401,0.000380,0.000430
10000,0.000392,0.000415,0.000401
10000,0.000387,0.000384,0.000419
10000,0.000380,0.000393,0.000417
10000,0.000377,0.000421,0.000418
10000,0.000374,0.000388,0.000411
10000,0.000372,0.000399,0.000425
10,0.000333,0.000340,0.000358
10,0.000368,0.000366,0.000398
10,0.000327,0.000315,0.000349
100,0.011386,0.000412,0.000445
100,0.000425,0.000429,0.000452
100,0.006560,0.000307,0.000344
100,0.000348,0.163562,0.000409
100,0.000352,0.000384,0.000375
100000,0.096440,0.000371,0.000419
100000,0.042228,0.014770,0.000424
100000,0.017739,0.004574,0.000407
100000,0.004026,0.054220,0.000394
100000,0.000410,0.000410,0.000600
100000,0.000410,0.000379,0.000426
100000,0.000409,0.000392,0.000418
100000,0.000401,0.000423,0.000416
100000,0.000394,0.000408,0.000411
100000,0.000393,0.000392,0.000425
100000,0.000385,0.000403,0.000406
100000,0.000385,0.000388,0.000396
100000,0.000384,0.000398,0.000402
100000,0.000384,0.000385,0.000406
100000,0.000381,0.000373,0.000429
100000,0.000379,0.000398,0.000399
100000,0.000374,0.047078,0.000410
100,0.000335,0.000322,0.000334
100,0.000348,0.000333,0.000364
1000,0.000602,0.000654,0.000644
1000,0.000378,0.000383,0.000393
1000,0.000432,0.056584,0.020712
1000,0.000362,0.000361,0.000370
1000,0.000340,0.000367,0.000370
1000,0.000362,0.000366,0.000367
1000,0.000383,0.000364,0.000397
1000000,0.050308,0.010834,0.000419
1000000,0.016970,0.030295,0.014897
1000000,0.010470,0.000393,0.000402
1000000,0.000751,0.000963,0.001305
1000000,0.000456,0.021299,0.043083
1000000,0.000408,0.000413,0.000408
1000000,0.000408,0.000381,0.000395
1000000,0.000403,0.000397,0.000415
1000000,0.000393,0.000399,0.000403
1000000,0.000381,0.000375,0.000418
1000000,0.000376,0.019873,0.015749
1000000,0.000367,0.000397,0.000431
1000,0.000358,0.000335,0.000354
1000,0.000344,0.000336,0.000350
10000,0.080991,0.079683,0.000398
10000,0.000570,0.000486,0.000576
10000,0.000683,0.000365,0.000342
10000,0.000367,0.000361,0.000373
10000,0.015616,0.000364,0.000381
10000,0.000367,0.000365,0.000437
10000,0.000339,0.000339,0.000365
10000000,0.060526,0.000388,0.000423
10000000,0.009230,0.008783,0.064499
10000000,0.001586,0.020735,0.002327
10000000,0.000419,0.000409,0.000413
10000000,0.000417,0.000391,0.000447
10000000,0.000409,0.000383,0.000412
10000000,0.000408,0.000389,0.000396
10000000,0.000407,0.011880,0.011662
10000000,0.000406,0.000400,0.000423
10000000,0.000401,0.000403,0.000426
10000000,0.000397,0.000412,0.000408
10000000,0.000394,0.000397,0.000426
10000000,0.000392,0.000417,0.000409
10000000,0.000381,0.047076,0.000422
10000000,0.000374,0.000388,0.000408
100000,0.000359,0.000349,0.000374
100000,0.000317,0.000332,0.000342
100000,0.000342,0.000323,0.000357
1000000,0.037701,0.000395,0.000397
1000000,0.000492,0.000484,0.000611
1000000,0.000417,0.000424,0.000517
1000000,0.000357,0.000365,0.000381
1000000,0.000366,0.000348,0.000383
1000000,0.000331,0.000340,0.000349
1000000,0.000341,0.000327,0.000377
1000000,0.000345,0.000347,0.000376
10000000,0.000870,0.001920,0.000376
10000000,0.000349,0.000324,0.000357
10000000,0.000319,0.000325,0.000339
10000000,0.000338,0.000344,0.000349
10000000,0.003649,0.000315,0.000333
